"ogc_fid	id	ulykkenummer	intulykkenr	nestenulykke	dato	breddegrad	lengdegrad	ulykketype_kode	ulykketype	skipinvolvert	geom_wkt"
"2427	9CD4AEFE-5D13-451A-9BD6-3CD127A181D1	2021/0307	20210307	J	2021-04-06	68.8	16.53333	G	Grunnst�ting	HERMOD	POINT(16.5333309173584 68.8000030517578)"
"7227	45E9B0A5-63ED-481F-8449-B7E631A6E4E6	2021/0274	20210274	N	2021-03-30	57	5	G	Grunnst�ting	WILSON NANTES	POINT(5 57)"
"3057	00236145-23D7-4199-84A0-4D3034BF8144	2021/0286	20210286	N	2021-03-29	62.46933	6.15	G	Grunnst�ting	ATLANTIC TANK	POINT(6.15000009536743 62.4693298339844)"
"8357	B6D19DD4-50D7-48F8-8128-D20606E19338	2021/0271	20210271	N	2021-03-28	63.33667	7.815	G	Grunnst�ting	FRØY JUNIOR	POINT(7.81500005722046 63.3366661071777)"
"6293	DA686F54-4353-4DD8-B1E5-A060F6B1FA37	2021/0273	20210273	J	2021-03-28	63.68716	8.756165	G	Grunnst�ting	FRØYVIND	POINT(8.75616455078125 63.6871643066406)"
"2845	3AE3B68E-3D71-4334-98E8-475CB33B8EA6	2021/0260	20210260	N	2021-03-24	69.45717	18.13091	G	Grunnst�ting	ROWENTA	POINT(18.1309146881104 69.4571685791016)"
"8289	F5457D5A-F875-4BAB-8178-D0662811BE2E	2021/0240	20210240	N	2021-03-14	63.30967	8.124	G	Grunnst�ting	RONJA FJORD	POINT(8.12399959564209 63.3096656799316)"
"9017	54E8B49D-B7BE-4910-B362-E33D931A266D	2021/0220	20210220	N	2021-03-12	69.93333	20.15	G	Grunnst�ting	SOLSTRAND	POINT(20.1499996185303 69.9333267211914)"
"1404	53C27125-D70D-4E35-AED1-22E675172F3E	2021/0200	20210200	N	2021-03-07	62.2005	5.88783	G	Grunnst�ting	NYSTEIN	POINT(5.88782978057861 62.2005004882813)"
"5709	201B5874-9B57-4922-BB97-910850FB4F52	2021/0268	20210268	N	2021-03-02	18.44167	-93.18566	G	Grunnst�ting	BOABARGE 22	POINT(-93.185661315918 18.4416656494141)"
"2049	DD7B0255-C6CE-4557-B80C-33540B12E577	2021/0188	20210188	N	2021-03-02	59.18483	9.62333	G	Grunnst�ting	VESTBORG	POINT(9.62333011627197 59.1848297119141)"
"5985	86218868-9884-4E04-8C13-981A8B5A2559	2021/0182	20210182	N	2021-03-01	59.11866	10.35833	G	Grunnst�ting	TERNEN	POINT(10.3583297729492 59.1186637878418)"
"768	13DAAE30-7D71-4906-9991-137B74C69526	2021/0187	20210187	J	2021-02-28	59.38116	5.17883	G	Grunnst�ting	FJORDLED	POINT(5.17883014678955 59.3811645507813)"
"830	E5B8C042-C043-4F57-A271-150DB40A7FC8	2021/0165	20210165	N	2021-02-19	66.78333	13.46667	G	Grunnst�ting	TORRISLAKS 3	POINT(13.4666652679443 66.783332824707)"
"6039	49770154-405B-4AF2-A4B2-99BA881ACD64	2021/0148	20210148	J	2021-02-12	59.2	10.88333	G	Grunnst�ting	GO' VAKKER VIVI II	POINT(10.8833303451538 59.2000007629395)"
"898	3B9FA2FB-579A-42C1-A8EA-16D0ABB8D489	2021/0111	20210111	N	2021-02-07	67.5995	12.61458	G	Grunnst�ting	FRANTSEN JUNIOR	POINT(12.6145801544189 67.5995025634766)"
"1224	83B481A1-9357-4DD0-B471-1ED391E2C187	2021/0121	20210121	N	2021-02-07	65.78333	12.30533	G	Grunnst�ting	UNI HELGELAND	POINT(12.3053302764893 65.783332824707)"
"1727	3D843FC9-54AC-4D38-8835-2B378497191B	2021/0114	20210114	N	2021-02-05	62.46	6.151665	G	Grunnst�ting	SVARTFOSS	POINT(6.15166521072388 62.4599990844727)"
"3656	D672C69C-EEF5-4C02-937A-5C28CCA2CAA5	2021/0112	20210112	N	2021-02-05	68.485	15.21167	G	Grunnst�ting	INTER NORD	POINT(15.2116651535034 68.4850006103516)"
"8153	6D790337-9175-4320-A414-CD7B0B0138CD	2021/0109	20210109	N	2021-02-04	59.4225	5.226465	G	Grunnst�ting	NAVØY	POINT(5.22646522521973 59.4225006103516)"
"2901	1EBF8F5E-CD53-45ED-87A5-48B6CE117335	2021/0104	20210104	N	2021-02-03	65.90183	12.38333	G	Grunnst�ting	NÆRØYBUEN	POINT(12.3833303451538 65.9018325805664)"
"448	6C9CD1B7-3945-420B-8C7C-0B3A04EC2A0A	2021/0129	20210129	N	2021-01-21	70.6395	29.751	G	Grunnst�ting	Melkart	POINT(29.7509994506836 70.6395034790039)"
"469	E0EBB997-FD1A-4B32-92A1-0BCBEDA8ACEA	2021/0049	20210049	J	2021-01-20	55.63667	12.69	G	Grunnst�ting	OSLO FOREST 3	POINT(12.6899995803833 55.6366653442383)"
"2591	12755C6E-8604-4052-A222-417449B1110A	2021/0047	20210047	N	2021-01-20	60.80543	4.79808	G	Grunnst�ting	EIDSVAAG MARIN	POINT(4.79807996749878 60.8054313659668)"
"2818	35925434-160F-4076-8A09-46DFFB224CC4	2021/0045	20210045	N	2021-01-19	66.36667	12.61666	G	Grunnst�ting	PETTER DASS	POINT(12.6166648864746 66.3666687011719)"
"9447	1A87D269-0C89-41BC-B98F-EEF279F6367D	2021/0088	20210088	N	2021-01-18	60.01667	5.266665	G	Grunnst�ting	HORDAFJELL	POINT(5.26666498184204 60.0166664123535)"
"4244	FF452823-5604-46CB-8FF5-6ADBB2BCB5B1	2021/0092	20210092	J	2021-01-17	63.36666	8.2	G	Grunnst�ting	FRØY FIGHTER	POINT(8.19999980926514 63.3666648864746)"
"6069	8D7D77EA-0031-4E7C-9303-9A764AF0C6CA	2021/0035	20210035	N	2021-01-16	62.47166	6.11548	G	Grunnst�ting	DYKKERSERVICE 10	POINT(6.11547994613647 62.4716644287109)"
"4443	DF3F0EF7-94B0-41B1-9392-6F921D148DEF	2021/0038	20210038	N	2021-01-16	70.41666	22.83333	G	Grunnst�ting	TENNESSEE	POINT(22.8333301544189 70.4166641235352)"
"2315	163A22DA-D9C4-4F6E-B4D8-39A514215429	2021/0042	20210042	N	2021-01-15	61.0526	4.73828	G	Grunnst�ting	SUNDFERJA	POINT(4.73827981948853 61.0526008605957)"
"8755	68BA7A45-2134-491E-A9DF-DC18FA0F6262	2021/0012	20210012	N	2021-01-07	61.26667	4.7865	G	Grunnst�ting	BERGFJORD	POINT(4.78649997711182 61.2666664123535)"
"4752	F2EF5317-98DA-4812-A59A-78004E9E38FF	2021/0005	20210005	N	2021-01-05	69.75	19.66666	G	Grunnst�ting	AMANDA	POINT(19.6666641235352 69.75)"
"7784	6DA87DDF-CE52-4C31-A166-C4D1446B53EA	2021/0090	20210090	N	2021-01-05	70.74167	25.66666	G	Grunnst�ting	KORSFJORD	POINT(25.6666641235352 70.7416687011719)"
"6914	CE086127-24E3-403F-A63E-B0DA32EB5C73	2021/0002	20210002	N	2021-01-03	62.145	5.061665	G	Grunnst�ting	BOA ODIN	POINT(5.06166505813599 62.1450004577637)"
"2862	CDD3B56C-3DC4-437E-9BA0-47DA362D43DC	2020/0863	20200863	N	2020-12-26	63.56	9.41	G	Grunnst�ting	FOSNA NEPTUN	POINT(9.40999984741211 63.560001373291)"
"9218	A1868811-8616-4477-8D6D-E8CF3C0C3A6D	2020/0857	20200857	N	2020-12-25	61.59666	4.955	G	Grunnst�ting	GRIP AUSTRAL	POINT(4.95499992370605 61.5966644287109)"
"118	DB4DEF2C-6DEE-4A00-8A7A-02F6A0A400C7	2020/0851	20200851	N	2020-12-22	69.9	20.1	G	Grunnst�ting	STORMHAV	POINT(20.1000003814697 69.9000015258789)"
"519	286D036E-1D8F-45E8-A8ED-0D225882FD02	2020/0839	20200839	N	2020-12-19	63.36533	8.672165	G	Grunnst�ting	ARKTOS	POINT(8.67216491699219 63.3653297424316)"
"4012	E5CEFD1C-5178-4A48-8823-650AD3E4ED0F	2020/0847	20200847	N	2020-12-19	65.6745	12.14783	G	Grunnst�ting	BORGSKJÆR	POINT(12.1478300094604 65.6744995117188)"
"4392	522FD9D4-64BE-414A-86BD-6E8C0AE6D8C9	2020/0848	20200848	J	2020-12-19	63.81733	9.670165	G	Grunnst�ting	HYDRO PATRIOT	POINT(9.67016506195068 63.8173294067383)"
"2959	079E1FBB-9163-4216-BE15-4AA6236DBE94	2020/0834	20200834	N	2020-12-18	62.98333	7.55	G	Grunnst�ting	VOLT COLLECTOR II	POINT(7.55000019073486 62.9833297729492)"
"6949	B92F5DAB-0E45-4F8F-9CC5-B1B6794E7758	2020/0842	20200842	N	2020-12-18	68.27258	8.229665	G	Grunnst�ting	SLC-02	POINT(8.22966480255127 68.2725830078125)"
"9185	2B04FADA-7D4C-4737-B393-E7F04D06E7B3	2020/0818	20200818	N	2020-12-09	70.6345	29.73383	G	Grunnst�ting	KAPITAN GERASHCHENHO	POINT(29.733829498291 70.6344985961914)"
"8891	CC30D220-51DD-47F0-B4BF-DFDB8A37A504	2020/0811	20200811	N	2020-12-01	63.86666	9.78333	G	Grunnst�ting	MAILEN	POINT(9.78332996368408 63.8666648864746)"
