breddegrad;lengdegrad
68.8;16.53333
57;5
62.46933;6.15
63.33667;7.815
63.68716;8.756165
69.45717;18.13091
63.30967;8.124
69.93333;20.15
62.2005;5.88783
18.44167;-93.18566
59.18483;9.62333
59.11866;10.35833
59.38116;5.17883
66.78333;13.46667
59.2;10.88333
67.5995;12.61458
65.78333;12.30533
62.46;6.151665
68.485;15.21167
59.4225;5.226465
65.90183;12.38333
70.6395;29.751
55.63667;12.69
60.80543;4.79808
66.36667;12.61666
60.01667;5.266665
63.36666;8.2
62.47166;6.11548
70.41666;22.83333
61.0526;4.73828
61.26667;4.7865
69.75;19.66666
70.74167;25.66666
62.145;5.061665
63.56;9.41
61.59666;4.955
69.9;20.1
63.36533;8.672165
65.6745;12.14783
63.81733;9.670165
62.98333;7.55
68.27258;8.229665
70.6345;29.73383
63.86666;9.78333
56.56667;10.26667
60.85833;4.856665
69.3725;18.07383
70.38333;31.08333
69.75;19.11666
59.68333;5.716665
66.6305;13.29217
70.90517;25.552
63.7205;8.604333
59.18333;10.45
58.45;5.966665
68.78333;16.53333
70.01573;29
66.91666;13.85
58.05725;7.87297
67.63333;12.71667
69.87566;18.53693
58.42383;5.8585
66.25967;12.73483
64.90333;11.30667
71.11667;27.61666
64.21667;10.11667
64.91666;11.25
62.52666;6.23983
56.65;8.216665
64.44283;10.559
63.67178;9.03483
63.7325;8.62533
62.9665;6.9
65.31667;9.3205
58.0895;7.034
61.326;8.736667
63.25;7.916665
59.31667;8.716665
70.71166;25.8555
66.025;12.65117
66.77016;13.476
58.56667;9
59.86666;6.35
63.98333;8.8
59.18866;5.970665
59.3;6.15
64.02483;11.81061
60.75622;10.94644
11.105;-74.853
67.76666;14.4
59.22591;10.74382
69.96667;20.25
67.4855;12.067
69.7015;18.924
67.76455;15.58051
59.67117;5.318
67;14
70.068;20.37283
58.9;6.1
63.03333;7.666665
64.85383;11.09317
64.85233;11.25433
69.49167;17.49166
58.6;9.059165
66.36667;12.33333
33.61666;-59.76667
66.36667;12.35
68.03667;13.35166
59.02233;5.890665
62.52671;6.23988
69.55433;18.7215
64.21195;10.11083
68.4;16
60.1085;6.05833
68.5685;16.53167
62.31667;5.65
69.85;19.63333
59.35;5.3
64.84743;11.26826
59.6;5.283333
66.77417;13.50733
60.43683;5.107165
68.48333;15.20166
68.28343;14.2703
69.32333;16.12166
56.774;10.31433
58.07467;7.96833
62.63833;6.39
67.95383;15.16433
66.17976;12.36855
58.04233;7.9695
71.14833;25.33383
63.45833;7.8705
59.06746;10.96585
63.46666;10.88667
60.20705;5.05483
69.5645;18.76483
66.43166;12.82166
66.0215;12.6395
61.31667;5.05
61.325;5.05333
29.34167;-94.71333
-32.95916;-60.60733
70.11667;19.96667
63.32325;8.121515
63.44846;10.58216
70.7;24.36666
60.51667;5.316667
62.36666;6.316667
60.7865;4.817
60.43642;4.0958
60.27;5.3245
59.82633;5.718165
59.41215;5.23703
59.30072;4.96764
55.18333;-7.766665
54.85633;10.05
60.785;4.809665
63.7985;9.4425
64.87;11.276
59.01256;5.015165
62.445;6.27
32.0981;-81.00238
64.48803;10.75181
63;7.80783
60.67633;4.89133
66.1555;13.07433
62.33933;5.6245
64.91733;11.25615
59.335;5.306665
63.2546;7.92778
58.599;9.0655
62.33167;5.951665
70.51666;23.05
58.4491;5.9916
59.14082;5.267167
62.1835;5.603
59.234;6.15971
62.14543;5.06213
60.20833;3.48333
65.88728;12.15676
64.85367;11.2365
59.86848;5.21785
70.53258;25.10073
64.59529;11.52182
69.77216;19.06333
68.75333;16.61783
67.67003;14.70833
62.89083;6.8215
70.10948;19.5545
58.87167;9.53
63.50463;9.21628
61.095;4.7225
62.71938;7.1865
66.8214;49.18333
68.91833;15.052
60.47314;5.05148
64.80167;11.05667
67.48483;12.107
59.92067;5.296
66.17367;13.01
59.34183;9.250165
60.37167;6.716665
59.819;5.2535
64.4893;11.42667
57.0445;-6.4865
69.69096;19.04284
66.32032;12.99232
62.46666;6.13333
58.0545;7.771665
65.46667;12.2
60.16985;1.150815
70.65433;29.85083
78.39266;14.18333
69.58538;17.86118
64.27682;10.28288
64.91666;10.38633
61.37666;4.891665
68.57633;14.854
64.78958;10.70545
63.7342;8.627365
64.50133;10.88706
63.95346;8.85683
58.95782;6.14304
68.20408;14.57841
67.97231;15.31316
57.43333;7.2
59.208;5.929167
64.537;10.74212
58.235;6.607665
64.73535;11.1777
60.0584;5.32629
56.706;10.23733
69.89117;18.68183
61.3405;5.0595
64.24167;10.31833
63.8045;8.70633
55.29667;10.79
63.81833;8.61933
64.57166;5.22833
57.01167;-5.821115
69.58482;17.86498
59.05333;5.40333
63.09267;7.591665
63.91417;9.804665
69.77381;20.52477
79.8979;18.0773
63.11787;7.76358
58.57851;9.138705
64.91133;11.308
66.16416;12.85166
60.89146;4.841665
30.02554;-90.70393
62.52433;6.2835
43.40166;3.72
63.89;9.815
59.37333;5.21333
69.7525;30.04217
68.17333;14.71667
68.65166;16.62333
70.488;26.91438
62.3375;5.60833
60.335;4.989575
60.34666;5.176165
59.1;10.98333
67.23129;14.61352
66.5199;12.96667
59.15583;5.415
56.83781;-5.11758
3.83633;9.5365
59.42204;5.13329
63.65833;8.776665
62.81583;6.551665
67.96013;15.41635
63.095;7.77813
57.83833;6.716665
68.79166;16.57166
49.395;0.326665
68.00133;14.23783
58.8715;9.544
64.967;10.90938
60.07167;6.54833
65.985;12.505
59.741;10.18533
62.96555;7.02463
58.00411;7.48914
68.77167;15.45716
63.27856;8.2862
58.96241;6.15263
59.16833;10.84083
59.41217;10.49035
65.9445;12.02067
59.98867;5.09303
62.88588;6.85003
62.95483;7.883665
60.94831;4.968015
58.43842;8.81891
59.8745;10.575
69.71716;19.00733
62.98333;6.44233
64.736;10.93816
63.21123;8.158665
72.83933;55.69366
59.02951;9.7661
60.18755;11.38333
65.53716;12.16233
62.98833;8.65
60.326;4.9045
66.22646;12.08333
68.848;14.7305
70.97683;23.55351
69.6927;18.93653
64.62147;11.1646
69.6;20.51666
63.8143;8.4789
59.8395;10.63833
68.9022;15.28333
59.38783;5.273165
62.081;6.29383
60.39;5.307665
59.03483;10.225
62.03783;5.30983
66.77834;12.77333
61.88;5.075
58.075;8.066667
68.22166;16.07166
69.64097;18.9681
62.49466;6.38583
59.59808;5.318333
66.405;12.84167
68.53333;17.18333
35.06982;129.1307
62.49;6.205
70.47685;23.79
64.94;11.45667
58.23583;-6.9
68.297;15.44183
61.871;5.24333
67.62333;14.63333
59.2065;5.49
63.09917;7.5975
66.62466;12.97867
68.78332;14.45808
60.8;4.73
63.08578;7.460875
68.58766;14.8365
68.59648;16.50748
64.04149;10.02336
71.03333;26.23333
64.56727;10.84746
63.67775;9.27928
68.55316;16.46023
69.82728;20.78083
63.025;7.145935
66.23904;12.85831
68.996;15.43167
59.70922;10.58964
60.06805;5.97374
66.1555;12.67633
60.15432;5.226665
68.23733;14.58683
62.56667;6.216665
68.08933;16.35183
68.74;17.35833
51.339;3.85194
53.93333;10.86666
66.83833;13.29667
69.82133;18.618
70.938;25.483
69.32283;16.141
62.4579;6.189665
60.8215;4.79183
60.01266;5.08583
58.11715;8.106115
60.18116;-1.1505
66.37309;12.36666
62.881;6.8485
63.52666;-20.115
68.23648;14.58132
68.11995;13.86162
59.205;10.95
60.57539;5.22983
66.22666;13.355
62.41;6.03833
61.65166;4.6675
61.5802;5.001665
62.56;7.670165
58.87167;9.54333
58.87067;9.541665
61.20417;4.971665
67.76575;14.719
60.24;5.205
69.00683;15.15882
54.65633;8.200165
64.76292;10.89475
65.40916;-52.539
58.86818;9.424665
63.66083;8.728
67.40217;11.79617
58.05652;7.771085
63.635;9.675665
63.67167;9.35333
61.59166;4.978
61.60258;4.974
66.08433;12.603
59;10.075
68.33883;14.95995
56.98533;10.40283
66.20067;13.00667
59.23333;5.936665
66.87545;13.38553
61.33;5.155
70.79767;25.7645
66.02168;12.63532
59.8841;5.251465
58.9635;11.13
69.66825;19.00042
59.30333;5.29833
63.7594;9.45516
63.34925;7.7221
64.13333;10.12083
63.2835;8.141
65.71418;11.9222
58.95833;5.76833
59.48333;5.886665
67.73333;12.55
68.47166;16.10416
63.88603;9.75405
59.255;5.4
59.04233;9.070665
68.81667;14.55
30.795;32.315
60.59083;5.43433
67.25;14.25
65.7145;11.93335
59.35;5.316665
